BEDRIJFSNAAM,VESTIGINGSPLAATS,VERSTREKT VOORSCHOT,waarsch_buitenland,provincie,provincie_code,gemeente,gemeente_code
!PET BOEKHANDEL B.V.,HOOGEVEEN,12978,0,Drenthe,PV22,Hoogeveen,0118
!PET VISUELE COMMUNICATIE B.V.,HOOGEVEEN,20379,0,Drenthe,PV22,Hoogeveen,0118
"""AAN DE MAAS"" EXPLOITATIE B.V.",SCHIEDAM,8040,0,Zuid-Holland,PV28,Schiedam,0606
"""B.V. BOUW- EN AANNEMINGSBEDRIJF G. DE HAAN EN ZN"".",GARYP,49923,0,Fryslân,PV21,Tytsjerksteradiel,0737
"""BEMI"" AMUSEMENTSAUTOMATEN B.V.",ENSCHEDE,2307,0,Overijssel,PV23,Enschede,0153
"""BETONVERENIGING""",GOUDA,51486,0,Zuid-Holland,PV28,Gouda,0513
"""BIJ TANTE"" V.O.F.",ELST GLD,1059,0,Utrecht,PV26,Rhenen,0340
"""CAVE ROKIN"" WINE & LIQUOR SHOP V.O.F.",AMSTERDAM,1851,0,Noord-Holland,PV27,Amsterdam,0363
"""HUIZE MAAS"" B.V.",GRONINGEN,26553,0,Groningen,PV20,Groningen,0014
"""LEGMEERVOGELS"" VERENIGING",UITHOORN,3111,0,Noord-Holland,PV27,Uithoorn,0451
"""LMC"" SERVICES B.V.",SCHIPHOL-RIJK,15153,0,Noord-Holland,PV27,Haarlemmermeer,0394
"""MULDERS-JANSSEN"" V.O.F.",OOST WEST EN MIDDELBEERS,7095,0,Noord-Brabant,PV30,Oirschot,0823
"""OP ZUID"" EXPLOITATIE B.V.",ROTTERDAM,10011,0,Zuid-Holland,PV28,Rotterdam,0599
"""OPERATIONAL CARE""",NIJMEGEN,2715,0,Gelderland,PV25,Nijmegen,0268
"""ORANGE AFRICA TRAVEL"" B.V.",ZEVENHUIZEN ZH,771,0,Zuid-Holland,PV28,Zuidplas,1892
"""RESTAURANT-CAFE DE WAAG"" B.V.",AMSTERDAM,67782,0,Noord-Holland,PV27,Amsterdam,0363
"""STICHTING MULTIFUNKTIONEEL CENTRUM OUDEGA (WYMBRITSERADEEL)",OUDEGA SUDWEST-FRYSLAN,2823,0,Fryslân,PV21,Súdwest-Fryslân,1900
"""STICHTING UNIE VAN VRIJWILLIGERS, AFDELING NIJKERK""",NIJKERK GLD,2295,0,Gelderland,PV25,Duiven,0226
"""T BONTE SCHAEP"" C.V.",BERGAMBACHT,3366,0,Zuid-Holland,PV28,Krimpenerwaard,1931
&BEYOND B.V.,ROTTERDAM,56295,0,Zuid-Holland,PV28,Rotterdam,0599
&RANJ B.V.,ROTTERDAM,63372,0,Zuid-Holland,PV28,Rotterdam,0599
(AD) VENTURE BOYZ B.V.,NAARDEN,2703,0,Noord-Holland,PV27,Gooise Meren,1942
. ASMA HAFEEZ,AMSTELVEEN,3723,0,Noord-Holland,PV27,Amstelveen,0362
. KHANNA,ALMERE,297,0,Flevoland,PV24,Almere,0034
"...,STAAT CREATIVE AGENCY B.V.",AMSTERDAM,45822,0,Noord-Holland,PV27,Amsterdam,0363
@ THE ACADEMY B.V.,EINDHOVEN,27351,0,Noord-Brabant,PV30,Eindhoven,0772
@KEK B.V.,LOENEN AAN DE VECHT,3750,0,Utrecht,PV26,Stichtse Vecht,1904
@LEVI'S EETCAFE V.O.F.,RIJSSEN,3354,0,Overijssel,PV23,Rijssen-Holten,1742
010 AUTOVERHUUR B.V.,S-GRAVENHAGE,3825,0,Zuid-Holland,PV28,'s-Gravenhage,0518
010 PERSONEEL B.V.,ROTTERDAM,1905,0,Zuid-Holland,PV28,Rotterdam,0599
01-10 ARCHITECTEN B.V.,ROTTERDAM,23622,0,Zuid-Holland,PV28,Rotterdam,0599
050CREW B.V.,GRONINGEN,8073,0,Groningen,PV20,Groningen,0014
073 MEETING COMPANY B.V.,S-HERTOGENBOSCH,18384,0,Noord-Brabant,PV30,'s-Hertogenbosch,0796
"1,2..8 B.V.",NIEUWEGEIN,23031,0,Utrecht,PV26,Nieuwegein,0356
100% FOOTBALL DEVENTER B.V.,APELDOORN,4902,0,Gelderland,PV25,Apeldoorn,0200
100% FOOTBALL RETAIL B.V.,APELDOORN,17019,0,Gelderland,PV25,Apeldoorn,0200
100% NL MAGAZINE B.V.,VOLENDAM,38001,0,Noord-Holland,PV27,Edam-Volendam,0385
100% TEAMWEAR B.V.,APELDOORN,15450,0,Gelderland,PV25,Apeldoorn,0200
123BESTDEAL B.V.,DELDEN,5436,0,Overijssel,PV23,Hof van Twente,1735
123ONTSTOPPER B.V.,HOOGEZAND,4188,0,Groningen,PV20,Midden-Groningen,1952
12B SURE B.V.,S-HERTOGENBOSCH,7491,0,Noord-Brabant,PV30,'s-Hertogenbosch,0796
12MPROVE ACADEMY B.V.,AMSTERDAM,8364,0,Noord-Holland,PV27,Amsterdam,0363
12MPROVE B.V.,AMSTERDAM,18465,0,Noord-Holland,PV27,Amsterdam,0363
12RETURN B.V.,GORINCHEM,6699,0,Zuid-Holland,PV28,Gorinchem,0512
1916 BOUWPLAATSSERVICE B.V.,EERSEL,21603,0,Noord-Brabant,PV30,Eersel,0770
1916 BOUWPLAATSSERVICE B.V.,EERSEL,20145,0,Noord-Brabant,PV30,Eersel,0770
1ERANG PRODUCTIES B.V.,AMSTERDAM,8796,0,Noord-Holland,PV27,Amsterdam,0363
1NERGIEK B.V.,LIJNDEN,464280,0,Noord-Holland,PV27,Haarlemmermeer,0394
1ZERO B.V.,UTRECHT,44985,0,Utrecht,PV26,Utrecht,0344
2 FLEX GROEP B.V.,DEVENTER,155442,0,Overijssel,PV23,Deventer,0150
2 GETTHERE B.V.,UTRECHT,156888,0,Utrecht,PV26,Utrecht,0344
2 GETTHERE HOLDING B.V.,UTRECHT,20235,0,Utrecht,PV26,Utrecht,0344
200 GRADEN CATERING B.V.,OSS,8157,0,Noord-Brabant,PV30,Oss,0828
20FACE B.V.,ENSCHEDE,37875,0,Overijssel,PV23,Enschede,0153
21ST PARTNERS B.V.,HOUTEN,8706,0,Utrecht,PV26,Houten,0321
22-24 CLUB & EVENT B.V.,DOETINCHEM,16059,0,Gelderland,PV25,Doetinchem,0222
227 DATASCIENCE B.V.,UTRECHT,6957,0,Utrecht,PV26,Utrecht,0344
227 LEARNING B.V.,UTRECHT,7479,0,Utrecht,PV26,Utrecht,0344
24 HR SERVICES B.V.,SCHIEDAM,899028,0,Zuid-Holland,PV28,Schiedam,0606
24BUILDINGCARE B.V.,DOETINCHEM,17736,0,Gelderland,PV25,Doetinchem,0222
24H MULTIDIENSTEN SERVICE B.V.,ALMERE,27858,0,Flevoland,PV24,Almere,0034
25 FPS COMMERCIAL PRODUCTION B.V.,AMSTERDAM,5823,0,Noord-Holland,PV27,Amsterdam,0363
29 SPICES B.V.,AMSTERDAM,5424,0,Noord-Holland,PV27,Amsterdam,0363
2BASICS B.V.,HAARLEM,17055,0,Noord-Holland,PV27,Haarlem,0392
2B-BUILD B.V.,BOXTEL,18951,0,Noord-Brabant,PV30,Boxtel,0757
2BMADE B.V.,LEEUWARDEN,3489,0,Fryslân,PV21,Leeuwarden,0080
2DAY@WORK B.V.,GIESSEN,891,0,Noord-Brabant,PV30,Altena,1959
2DAY@WORK B.V.,GIESSEN,20967,0,Noord-Brabant,PV30,Altena,1959
2-DUTCH AGENCY B.V.,EINDHOVEN,17022,0,Noord-Brabant,PV30,Eindhoven,0772
2GETHER SALES B.V.,BROEK OP LANGEDIJK,13452,0,Noord-Holland,PV27,Dijk en Waard,1980
2JOIN B.V.,GRONINGEN,20817,0,Groningen,PV20,Groningen,0014
2M GROUP DIVERS PERSONEELSDIENSTEN B.V.,NORG,16467,0,Drenthe,PV22,Noordenveld,1699
2MOBILE CONSULTANCY B.V.,EDE GLD,18873,0,Gelderland,PV25,Duiven,0226
2-NICE B.V.,HILVERSUM,14904,0,Noord-Holland,PV27,Hilversum,0402
2-RESCUE B.V.,EINDHOVEN,10362,0,Noord-Brabant,PV30,Eindhoven,0772
2TRUST B.V.,S-GRAVENHAGE,8856,0,Zuid-Holland,PV28,'s-Gravenhage,0518
2XCEED B.V.,SOEST,7941,0,Utrecht,PV26,Soest,0342
2XPO B.V.,S-HERTOGENBOSCH,25230,0,Noord-Brabant,PV30,'s-Hertogenbosch,0796
2XPR B.V.,UTRECHT,46677,0,Utrecht,PV26,Utrecht,0344
3 GEZUSTERS NIJMEGEN B.V.,NIJMEGEN,32223,0,Gelderland,PV25,Nijmegen,0268
333 TRAVEL B.V.,ALPHEN AAN DEN RIJN,139497,0,Zuid-Holland,PV28,Alphen aan den Rijn,0484
360 AMSTERDAM TOURS B.V.,AMSTERDAM,12474,0,Noord-Holland,PV27,Amsterdam,0363
360 PRIVATE TRAVEL B.V.,AMSTERDAM-DUIVENDRECHT,2394,0,Noord-Holland,PV27,Ouder-Amstel,0437
