BEDRIJFSNAAM,VESTIGINGSPLAATS,VERSTREKT VOORSCHOT,waarsch_buitenland,provincie,provincie_code,gemeente,gemeente_code
"""AAN DE MAAS"" EXPLOITATIE B.V.",SCHIEDAM,3126,0,Zuid-Holland,PV28,Schiedam,0606
"""ART OF PRIVATE SHAKING"" GLASS & BAR SUPPLY B.V.",DIEMEN,12852,0,Noord-Holland,PV27,Diemen,0384
"""BEMI"" AMUSEMENTSAUTOMATEN B.V.",ENSCHEDE,3074,0,Overijssel,PV23,Enschede,0153
"""BETONVERENIGING""",GOUDA,24976,0,Zuid-Holland,PV28,Gouda,0513
"""BIJ TANTE"" V.O.F.",ELST GLD,868,0,Utrecht,PV26,Rhenen,0340
"""CHEKIANG GARDEN""",ROTTERDAM,2952,0,Zuid-Holland,PV28,Rotterdam,0599
"""D & D COMPANY C.V.""",OOSTERHOUT NB,8870,0,Noord-Brabant,PV30,Land van Cuijk,1982
"""DE FIETS"" V.O.F.",RODEN,1494,0,Drenthe,PV22,Noordenveld,1699
"""DE NAALDHOF"" B.V.",OSS,33908,0,Noord-Brabant,PV30,Oss,0828
"""DE ZEEMEEUW"" V.O.F.",NOORDWIJK ZH,70448,0,Zuid-Holland,PV28,Noordwijk,0575
"""HUIZE MAAS"" B.V.",GRONINGEN,43046,0,Groningen,PV20,Groningen,0014
"""LEGMEERVOGELS"" VERENIGING",UITHOORN,1658,0,Noord-Holland,PV27,Uithoorn,0451
"""LMC"" SERVICES B.V.",SCHIPHOL-RIJK,6060,0,Noord-Holland,PV27,Haarlemmermeer,0394
"""MULDERS-JANSSEN"" V.O.F.",OOST WEST EN MIDDELBEERS,7936,0,Noord-Brabant,PV30,Oirschot,0823
"""OP ZUID"" EXPLOITATIE B.V.",ROTTERDAM,4860,0,Zuid-Holland,PV28,Rotterdam,0599
"""OPERATIONAL CARE""",NIJMEGEN,5790,0,Gelderland,PV25,Nijmegen,0268
"""ORANGE AFRICA TRAVEL"" B.V.",ZEVENHUIZEN ZH,512,0,Zuid-Holland,PV28,Zuidplas,1892
"""RESTAURANT-CAFE DE WAAG"" B.V.",AMSTERDAM,78626,0,Noord-Holland,PV27,Amsterdam,0363
"""STICHTING BUITENVERBLIJF ZONNEWENDE",SINT-MICHIELSGESTEL,10504,0,Noord-Brabant,PV30,Sint-Michielsgestel,0845
"""STICHTING MULTIFUNKTIONEEL CENTRUM OUDEGA (WYMBRITSERADEEL)",OUDEGA SUDWEST-FRYSLAN,4052,0,Fryslân,PV21,Súdwest-Fryslân,1900
"""STICHTING UNIE VAN VRIJWILLIGERS, AFDELING NIJKERK""",NIJKERK GLD,1268,0,Gelderland,PV25,Duiven,0226
"""T BONTE SCHAEP"" C.V.",BERGAMBACHT,2348,0,Zuid-Holland,PV28,Krimpenerwaard,1931
"""VENNOOTSCHAP ONDER FIRMA OME KO""",WIJK BIJ DUURSTEDE,744,0,Utrecht,PV26,Wijk bij Duurstede,0352
&BEYOND B.V.,ROTTERDAM,44918,0,Zuid-Holland,PV28,Rotterdam,0599
&TEA YUCHA DELFT B.V.,DELFT,5552,0,Zuid-Holland,PV28,Delft,0503
(NAAST) DE MARKT B.V.,UTRECHT,64118,0,Utrecht,PV26,Utrecht,0344
. AMRIZAL,S-GRAVENHAGE,2748,0,Zuid-Holland,PV28,'s-Gravenhage,0518
. ASMA HAFEEZ,AMSTELVEEN,1990,0,Noord-Holland,PV27,Amstelveen,0362
"...,STAAT CREATIVE AGENCY B.V.",AMSTERDAM,30254,0,Noord-Holland,PV27,Amsterdam,0363
@DCOMMUNICATIE V.O.F.,HELMOND,10074,0,Noord-Brabant,PV30,Helmond,0794
@FACILITYS,ARNHEM,3192,0,Gelderland,PV25,Arnhem,0202
@KEK B.V.,LOENEN AAN DE VECHT,2308,0,Utrecht,PV26,Stichtse Vecht,1904
@LEVI'S EETCAFE V.O.F.,RIJSSEN,2684,0,Overijssel,PV23,Rijssen-Holten,1742
020 SECURITY B.V.,AMSTERDAM,29136,0,Noord-Holland,PV27,Amsterdam,0363
033 B.V.,BUNSCHOTEN-SPAKENBURG,35322,0,Utrecht,PV26,Bunschoten,0313
040FIT BOXTEL B.V.,BOXTEL,2128,0,Noord-Brabant,PV30,Boxtel,0757
040-FIT DEURNE B.V.,GELDROP,4556,0,Noord-Brabant,PV30,Geldrop-Mierlo,1771
040-FIT HEEZE B.V.,HEEZE,3498,0,Noord-Brabant,PV30,Heeze-Leende,1658
040-FIT VALKENSWAARD B.V.,VALKENSWAARD,4438,0,Noord-Brabant,PV30,Valkenswaard,0858
050CREW B.V.,GRONINGEN,4852,0,Groningen,PV20,Groningen,0014
073 MEETING COMPANY B.V.,S-HERTOGENBOSCH,18258,0,Noord-Brabant,PV30,'s-Hertogenbosch,0796
100% FAT B.V.,ENSCHEDE,12558,0,Overijssel,PV23,Enschede,0153
100% FOOTBALL RETAIL B.V.,APELDOORN,16908,0,Gelderland,PV25,Apeldoorn,0200
101 GOWRIE B.V.,AMSTERDAM,9084,0,Noord-Holland,PV27,Amsterdam,0363
112AUTOMOTIVE B.V.,ZEIST,8568,0,Utrecht,PV26,Zeist,0355
112SCHADE B.V.,ZEIST,5102,0,Utrecht,PV26,Zeist,0355
12B SURE B.V.,S-HERTOGENBOSCH,4240,0,Noord-Brabant,PV30,'s-Hertogenbosch,0796
1714 DRINKS & BITES VOF,SCHIEDAM,8956,0,Zuid-Holland,PV28,Schiedam,0606
1892 ETEN & DRINKEN B.V.,ZOETERMEER,17630,0,Zuid-Holland,PV28,Zoetermeer,0637
1916 BOUWPLAATSSERVICE B.V.,EERSEL,10858,0,Noord-Brabant,PV30,Eersel,0770
1916 BOUWPLAATSSERVICE B.V.,EERSEL,9700,0,Noord-Brabant,PV30,Eersel,0770
1ERANG PRODUCTIES B.V.,AMSTERDAM,632,0,Noord-Holland,PV27,Amsterdam,0363
1M2M B.V.,WOERDEN,1218,0,Utrecht,PV26,Woerden,0632
1ZERO B.V.,UTRECHT,22100,0,Utrecht,PV26,Utrecht,0344
2 FLEX GROEP B.V.,DEVENTER,91178,0,Overijssel,PV23,Deventer,0150
200 GRADEN CATERING B.V.,OSS,4148,0,Noord-Brabant,PV30,Oss,0828
21 PINCHOS FENIXLOODS ROTTERDAM B.V.,ROTTERDAM,42006,0,Zuid-Holland,PV28,Rotterdam,0599
22-24 CLUB & EVENT B.V.,DOETINCHEM,14552,0,Gelderland,PV25,Doetinchem,0222
24-7ADMIN B.V.,HOOGEVEEN,1300,0,Drenthe,PV22,Hoogeveen,0118
24BUILDINGCARE B.V.,DOETINCHEM,6424,0,Gelderland,PV25,Doetinchem,0222
24H MULTIDIENSTEN SERVICE B.V.,ALMERE,11592,0,Flevoland,PV24,Almere,0034
25 FPS COMMERCIAL PRODUCTION B.V.,AMSTERDAM,5944,0,Noord-Holland,PV27,Amsterdam,0363
273 HORECA B.V.,UTRECHT,7048,0,Utrecht,PV26,Utrecht,0344
29 SPICES B.V.,AMSTERDAM,5968,0,Noord-Holland,PV27,Amsterdam,0363
2B CONVEYOR SYSTEMS B.V.,ROELOFARENDSVEEN,20394,0,Zuid-Holland,PV28,Kaag en Braassem,1884
2B-BUILD B.V.,BOXTEL,12018,0,Noord-Brabant,PV30,Boxtel,0757
2DAY@WORK B.V.,GIESSEN,9356,0,Noord-Brabant,PV30,Altena,1959
2DIVORCE FRANCHISE B.V.,ALKMAAR,11152,0,Noord-Holland,PV27,Alkmaar,0361
2-DUTCH AGENCY B.V.,EINDHOVEN,7544,0,Noord-Brabant,PV30,Eindhoven,0772
2E JACOB VAN CAMPEN HORECA B.V.,AMSTERDAM,3746,0,Noord-Holland,PV27,Amsterdam,0363
2GETHER FASHION B.V.,ROTTERDAM,1310,0,Zuid-Holland,PV28,Rotterdam,0599
2GETHER SALES B.V.,BROEK OP LANGEDIJK,8968,0,Noord-Holland,PV27,Dijk en Waard,1980
2JOIN B.V.,GRONINGEN,24062,0,Groningen,PV20,Groningen,0014
2KERR B.V.,HEDEL,6038,0,Gelderland,PV25,Maasdriel,0263
2LEARN B.V.,AMSTERDAM,25988,0,Noord-Holland,PV27,Amsterdam,0363
2M GROUP DIVERS PERSONEELSDIENSTEN B.V.,NORG,16184,0,Drenthe,PV22,Noordenveld,1699
2PHONE LOCHEM B.V.,LOCHEM,516,0,Gelderland,PV25,Lochem,0262
2THELOO B2B B.V.,AMSTERDAM,10736,0,Noord-Holland,PV27,Amsterdam,0363
2THELOO HOLDING B.V.,AMSTERDAM,63084,0,Noord-Holland,PV27,Amsterdam,0363
2TRUST B.V.,S-GRAVENHAGE,5904,0,Zuid-Holland,PV28,'s-Gravenhage,0518
