BEDRIJFSNAAM,VESTIGINGSPLAATS,VERSTREKT VOORSCHOT,waarsch_buitenland,provincie,provincie_code,gemeente,gemeente_code
2XCEED B.V.,SOEST,5474,0,Utrecht,PV26,Soest,0342
2-XL B.V.,ROERMOND,22046,0,Limburg,PV31,Roermond,0957
2XPO B.V.,S-HERTOGENBOSCH,3272,0,Noord-Brabant,PV30,'s-Hertogenbosch,0796
2XPR B.V.,UTRECHT,37698,0,Utrecht,PV26,Utrecht,0344
3 GEZUSTERS NIJMEGEN B.V.,NIJMEGEN,31942,0,Gelderland,PV25,Nijmegen,0268
3 KEUKEN & BAR B.V.,OUDEWATER,6452,0,Utrecht,PV26,Oudewater,0589
3&3 B.V.,UITGEEST,46704,0,Noord-Holland,PV27,Uitgeest,0450
31DEVELOPMENT B.V.,AMSTERDAM,2948,0,Noord-Holland,PV27,Amsterdam,0363
33 GOOD FOOD B.V.,HELMOND,10948,0,Noord-Brabant,PV30,Helmond,0794
333 TRAVEL B.V.,ALPHEN AAN DEN RIJN,71462,0,Zuid-Holland,PV28,Alphen aan den Rijn,0484
360 AMSTERDAM TOURS B.V.,AMSTERDAM,5464,0,Noord-Holland,PV27,Amsterdam,0363
360SPORTSINTELLIGENCE NEDERLAND B.V.,ENSCHEDE,30660,0,Overijssel,PV23,Enschede,0153
360TALENT B.V.,MIJDRECHT,20902,0,Utrecht,PV26,De Ronde Venen,0736
360TALENT B.V.,MIJDRECHT,7990,0,Utrecht,PV26,De Ronde Venen,0736
365 DAGEN SUCCESVOL. B.V.,AMSTERDAM,14416,0,Noord-Holland,PV27,Amsterdam,0363
3D METAL FORMING B.V.,LELYSTAD,13404,0,Flevoland,PV24,Lelystad,0995
3DEALISE B.V.,GOOR,2298,0,Overijssel,PV23,Hof van Twente,1735
3FIFTYNINE B.V.,S-HERTOGENBOSCH,60384,0,Noord-Brabant,PV30,'s-Hertogenbosch,0796
3FORCE B.V.,ZUIDBROEK,2884,0,Groningen,PV20,Midden-Groningen,1952
3P PROJECT SERVICES B.V.,OOSTERHOUT NB,32656,0,Noord-Brabant,PV30,Land van Cuijk,1982
3P QUALITY SERVICES B.V.,OOSTERHOUT NB,127882,0,Noord-Brabant,PV30,Land van Cuijk,1982
3-PACK B.V.,AMSTERDAM,53982,0,Noord-Holland,PV27,Amsterdam,0363
3PL+ B.V.,DONGEN,10942,0,Noord-Brabant,PV30,Dongen,0766
3S PEOPLE B.V.,GRONINGEN,3990,0,Groningen,PV20,Groningen,0014
3SIXTY5 ABCOUDE B.V.,AMSTELVEEN,10692,0,Noord-Holland,PV27,Amstelveen,0362
3SIXTY5 ALBERT CUYP B.V.,AMSTERDAM,4798,0,Noord-Holland,PV27,Amsterdam,0363
3SIXTY5 AMSTERDAM B.V.,AMSTERDAM,7308,0,Noord-Holland,PV27,Amsterdam,0363
3SIXTY5 GROUP B.V.,AMSTERDAM,2894,0,Noord-Holland,PV27,Amsterdam,0363
3-TAC B.V.,OSS,7972,0,Noord-Brabant,PV30,Oss,0828
3WO HORECA GROEP B.V.,AMSTERDAM,85134,0,Noord-Holland,PV27,Amsterdam,0363
4 CONTROL B.V.,OUD-BEIJERLAND,41834,0,Zuid-Holland,PV28,Hoeksche Waard,1963
433 B.V.,AMSTERDAM,47532,0,Noord-Holland,PV27,Amsterdam,0363
44 AND MORE B.V.,NOOTDORP,9032,0,Zuid-Holland,PV28,Pijnacker-Nootdorp,1926
4C'S MEDIA B.V.,CAPELLE AAN DEN IJSSEL,1888,0,Zuid-Holland,PV28,Capelle aan den IJssel,0502
4D IN VISION AUTOMATISERING GRONINGEN B.V.,GRONINGEN,6530,0,Groningen,PV20,Groningen,0014
4MINDS B.V.,HOUTEN,13816,0,Utrecht,PV26,Houten,0321
4MORE TECHNOLOGY B.V.,MOERKAPELLE,39476,0,Zuid-Holland,PV28,Zuidplas,1892
4ORANGE B.V.,AMSTERDAM,27994,0,Noord-Holland,PV27,Amsterdam,0363
4PM ENTERTAINMENT B.V.,AMSTERDAM,86016,0,Noord-Holland,PV27,Amsterdam,0363
54EVENTS B.V.,BREUKELEN UT,22382,0,Utrecht,PV26,Rhenen,0340
5TH AVENUE ARNHEM B.V.,ARNHEM,9306,0,Gelderland,PV25,Arnhem,0202
711 RENT AMSTERDAM B.V.,AMSTERDAM,2232,0,Noord-Holland,PV27,Amsterdam,0363
717 OPCO B.V.,AMSTERDAM,46882,0,Noord-Holland,PV27,Amsterdam,0363
72ANDSUNNY NL B.V.,AMSTERDAM,237138,0,Noord-Holland,PV27,Amsterdam,0363
77 EVENTS B.V.,ZOETERMEER,820,0,Zuid-Holland,PV28,Zoetermeer,0637
7SEVEN B.V.,AMSTERDAM,214606,0,Noord-Holland,PV27,Amsterdam,0363
7SEVEN B.V.,AMSTERDAM,2380078,0,Noord-Holland,PV27,Amsterdam,0363
7TIES B.V.,VENLO,1616,0,Limburg,PV31,Venlo,0983
8TEA5 DEN HAAG B.V.,S-GRAVENHAGE,3950,0,Zuid-Holland,PV28,'s-Gravenhage,0518
8TEA5 DEN HAAG B.V.,S-GRAVENHAGE,2740,0,Zuid-Holland,PV28,'s-Gravenhage,0518
8TEA5 DEN HAAG B.V.,S-GRAVENHAGE,3724,0,Zuid-Holland,PV28,'s-Gravenhage,0518
91 SPICES ROTTERDAM B.V.,ROTTERDAM,38588,0,Zuid-Holland,PV28,Rotterdam,0599
95 B.V.,AMSTERDAM,7636,0,Noord-Holland,PV27,Amsterdam,0363
A & A EXPO INTERNATIONAL BV,WIJK BIJ DUURSTEDE,164618,0,Utrecht,PV26,Wijk bij Duurstede,0352
A & B HORECA B.V.,AMSTERDAM,7706,0,Noord-Holland,PV27,Amsterdam,0363
A & F BODYFASHION B.V.,DEN HELDER,12284,0,Noord-Holland,PV27,Den Helder,0400
A & K FOTO-EXPRESS B.V.,ROTTERDAM,860,0,Zuid-Holland,PV28,Rotterdam,0599
A & L SOGNO B.V.,ROTTERDAM,8304,0,Zuid-Holland,PV28,Rotterdam,0599
A & M MACHINERY B.V.,HORST,9520,0,Limburg,PV31,Horst aan de Maas,1507
A & R FASTFOOD B.V.,ENSCHEDE,3798,0,Overijssel,PV23,Enschede,0153
A & X TEXTIELVERZORGING B.V.,BERGEN OP ZOOM,10188,0,Noord-Brabant,PV30,Bergen op Zoom,0748
A AHMAD,VOORBURG,2010,0,Zuid-Holland,PV28,Leidschendam-Voorburg,1916
A AKTHER,ZWOLLE,4504,0,Overijssel,PV23,Zwolle,0193
A BAAS,WORMERVEER,2222,0,Noord-Holland,PV27,Zaanstad,0479
A Ben YERROU,AMSTERDAM,16556,0,Noord-Holland,PV27,Amsterdam,0363
A BENNINKS SCHOENMAKERIJ EN STOMERIJ B.V.,ZEVENHUIZEN ZH,3170,0,Zuid-Holland,PV28,Zuidplas,1892
A BESTOUN,VOORBURG,2282,0,Zuid-Holland,PV28,Leidschendam-Voorburg,1916
A Boon-POLAK,HOOGEVEEN,236,0,Drenthe,PV22,Hoogeveen,0118
A BRANTJES,ZAANDAM,4578,0,Noord-Holland,PV27,Zaanstad,0479
A de LANGE,NOORDWIJK ZH,1044,0,Zuid-Holland,PV28,Noordwijk,0575
A de VRIES,VOLLENHOVE,1324,0,Overijssel,PV23,Steenwijkerland,1708
A EN H CATERING V.O.F.,BALKBRUG,3464,0,Overijssel,PV23,Hardenberg,0160
A FAKEN,RODEN,1166,0,Drenthe,PV22,Noordenveld,1699
A GEUGIEN,ARNHEM,1458,0,Gelderland,PV25,Arnhem,0202
A GUC B.V.,ROTTERDAM,2374,0,Zuid-Holland,PV28,Rotterdam,0599
A HEIJKOOP,SPRANG-CAPELLE,16596,0,Noord-Brabant,PV30,Waalwijk,0867
A KAKAL,OOSTZAAN,3682,0,Noord-Holland,PV27,Oostzaan,0431
A KELES,BREDA,216,0,Noord-Brabant,PV30,Breda,0758
A KENTER,OUDE PEKELA,5140,0,Groningen,PV20,Pekela,0765
A KUIPER,HOORN TERSCHELLING,16604,0,Fryslân,PV21,Terschelling,0093
A LA CARTE UITZENDBUREAU B.V.,BREDA,30104,0,Noord-Brabant,PV30,Breda,0758
A LA PLANCHA B.V.,ROTTERDAM,25752,0,Zuid-Holland,PV28,Rotterdam,0599
A Lieftink-SCALZO,ARNHEM,272,0,Gelderland,PV25,Arnhem,0202
A MANASSIS,TERNEUZEN,9512,0,Zeeland,PV29,Terneuzen,0715
A MEINTJENS,ALKMAAR,1404,0,Noord-Holland,PV27,Alkmaar,0361
A PETERS,HOENSBROEK,384,0,Limburg,PV31,Heerlen,0917
A PILET,MAASTRICHT,16916,0,Limburg,PV31,Maastricht,0935
A POLEIJ,S-GRAVENZANDE,7730,0,Zuid-Holland,PV28,Westland,1783
A RAFIKI,HAMONT-ACHEL,3480,1,,,,
A RANIERI,AMSTERDAM,1486,0,Noord-Holland,PV27,Amsterdam,0363
A ROTTERDAM B.V.,ALKMAAR,16330,0,Noord-Holland,PV27,Alkmaar,0361
A van MEEL,VELDHOVEN,2146,0,Noord-Brabant,PV30,Veldhoven,0861
A VAN O B.V.,UTRECHT,18736,0,Utrecht,PV26,Utrecht,0344
A van WOENSEL,KRIMPEN AAN DEN IJSSEL,9774,0,Zuid-Holland,PV28,Krimpen aan den IJssel,0542
A VEENEMA,DOORN,1514,0,Utrecht,PV26,Utrechtse Heuvelrug,1581
A WIELENS,AALDEN,690,0,Drenthe,PV22,Coevorden,0109
A WORLD OF FANTASY B.V.,VEGHEL,4372,0,Noord-Brabant,PV30,Meierijstad,1948
A ZAKI,AMSTERDAM,7208,0,Noord-Holland,PV27,Amsterdam,0363
A&O HOSTEL AND HOTEL AMSTERDAM B.V.,AMSTERDAM,49430,0,Noord-Holland,PV27,Amsterdam,0363
A&R B.V.,TILBURG,3552,0,Noord-Brabant,PV30,Tilburg,0855
A&R JONG V.O.F.,VLISSINGEN,3082,0,Zeeland,PV29,Vlissingen,0718
A&S HOLDING B.V.,S-GRAVENHAGE,1776,0,Zuid-Holland,PV28,'s-Gravenhage,0518
A&W ZONWERING EN INTERIEUR B.V.,HARMELEN,3574,0,Utrecht,PV26,Woerden,0632
A. ADEMA B.V.,HEERENVEEN,1086,0,Fryslân,PV21,Heerenveen,0074
A. BOOM TWEEWIELERS B.V.,BERKENWOUDE,13936,0,Zuid-Holland,PV28,Krimpenerwaard,1931
A. KERKMANS BEHEER B.V.,BERGSCHENHOEK,278,0,Zuid-Holland,PV28,Lansingerland,1621
A. LEERING ENSCHEDE APPARATENBOUW B.V.,ENSCHEDE,49528,0,Overijssel,PV23,Enschede,0153
A. LEERING ENSCHEDE LASERWELDING B.V.,ENSCHEDE,10400,0,Overijssel,PV23,Enschede,0153
A. LEERING ENSCHEDE PLASMASNIJDEN B.V.,ENSCHEDE,28574,0,Overijssel,PV23,Enschede,0153
A. LEERING METAALBEWERKING B.V.,ENSCHEDE,6764,0,Overijssel,PV23,Enschede,0153
A. POINT CULINAIRE B.V.,ECHTENERBRUG,6120,0,Fryslân,PV21,De Fryske Marren,1940
A. RENDERS HORECA EXPLOITATIE B.V.,EINDHOVEN,7040,0,Noord-Brabant,PV30,Eindhoven,0772
A. RUITER V.O.F.,HOENSBROEK,2288,0,Limburg,PV31,Heerlen,0917
A. SPOOREN HOLDING B.V.,OIRSCHOT,1970,0,Noord-Brabant,PV30,Oirschot,0823
A. TOONEN HANDEL EN TRANSPORT B.V.,REEK,8622,0,Noord-Brabant,PV30,Maashorst,1991
A. VAN BEEK EN ZN. B.V.,OUDENBOSCH,14934,0,Noord-Brabant,PV30,Halderberge,1655
A. VAN DER NEUT BETON- BEWERKINGS BEDRIJF B.V.,WOUBRUGGE,3698,0,Zuid-Holland,PV28,Kaag en Braassem,1884
A. VAN KERNEBEEK EN ZOON B.V.,BORCULO,1338,0,Gelderland,PV25,Berkelland,1859
A. VAN TILBURG HYDRAULIEK B.V.,ROOSENDAAL,24068,0,Noord-Brabant,PV30,Roosendaal,1674
A.A. BALKAN WOOD V.O.F.,LEIDEN,3206,0,Zuid-Holland,PV28,Leiden,0546
A.A.T. B.V.,BEST,6104,0,Noord-Brabant,PV30,Best,0753
A.B.C. AINK BODY CARE V.O.F.,ELBURG,4370,0,Gelderland,PV25,Elburg,0230
A.BAAS POTPLANTENKWEKERIJ B.V.,ENS,184940,0,Flevoland,PV24,Noordoostpolder,0171
A.C. VAN LEEUWEN CONSULTANCY B.V.,AMERSFOORT,486,0,Utrecht,PV26,Amersfoort,0307
A.C.S. AUTOPOETSCENTRALE SPIJKENISSEV.O.F.,BRIELLE,1018,0,Zuid-Holland,PV28,Brielle,0501
A.E.T.E.A. B.V.,AMSTERDAM,2050,0,Noord-Holland,PV27,Amsterdam,0363
A.F. ALKMAAR DE MARE B.V.,ALKMAAR,3854,0,Noord-Holland,PV27,Alkmaar,0361
A.F. AMSTELDIJK B.V.,AMSTERDAM,1910,0,Noord-Holland,PV27,Amsterdam,0363
A.F. BAVEL B.V.,DORST,686,0,Noord-Brabant,PV30,Oosterhout,0826
A.F. FOR YOU B.V.,BOXTEL,5840,0,Noord-Brabant,PV30,Boxtel,0757
A.F. GELDERLAND ZUID B.V.,GROESBEEK,12466,0,Gelderland,PV25,Berg en Dal,1945
A.F. HEERLEN CENTRUM B.V.,HEERLEN,4424,0,Limburg,PV31,Heerlen,0917
A.F. HEERLEN-ZUID B.V.,HEERLEN,4372,0,Limburg,PV31,Heerlen,0917
A.F. MAARSSEN B.V.,MAARSSEN,1354,0,Utrecht,PV26,Stichtse Vecht,1904
A.F. NUENEN C.V.,NUENEN,396,0,Noord-Brabant,PV30,"Nuenen, Gerwen en Nederwetten",0820
A.F. PURMEREND B.V.,PURMEREND,2488,0,Noord-Holland,PV27,Purmerend,0439
A.F. ROERDALEN B.V.,HERKENBOSCH,1536,0,Limburg,PV31,Roerdalen,1669
A.F. ROERMOND B.V.,ROERMOND,1512,0,Limburg,PV31,Roermond,0957
A.F. SIMPELVELD B.V.,SIMPELVELD,1548,0,Limburg,PV31,Simpelveld,0965
A.F. TER AAR B.V.,TER AAR,1268,0,Zuid-Holland,PV28,Nieuwkoop,0569
A.F. VOERENDAAL B.V.,VOERENDAAL,2638,0,Limburg,PV31,Voerendaal,0986
A.G. EMS NEDERLAND B.V.,EEMSHAVEN,29060,0,Groningen,PV20,Het Hogeland,1966
A.G. VAN DER HELM EXPEDITIE B.V.,MOERDIJK,164964,0,Noord-Brabant,PV30,Moerdijk,1709
A.G.M. VERMEULEN H.O.D.N. SHOEBY FASHION MAASBRACHT/JILLY&MITCH VOF,HERKENBOSCH,1148,0,Limburg,PV31,Roerdalen,1669
A.G.M. VERMEULEN H.O.D.N. SHOEBY FASHION MAASBRACHT/JILLY&MITCH VOF,HERKENBOSCH,1506,0,Limburg,PV31,Roerdalen,1669
A.J. BOSWIJK BAZAR B.V.,AMSTERDAM,5642,0,Noord-Holland,PV27,Amsterdam,0363
A.J. MICHELS TANDARTSPRAKTIJK B.V.,AMSTERDAM,4270,0,Noord-Holland,PV27,Amsterdam,0363
A.J. POLAK TRAVEL B.V.,AMSTERDAM,26590,0,Noord-Holland,PV27,Amsterdam,0363
A.J. VAN DIJK B.V.,WOLVEGA,47170,0,Fryslân,PV21,Weststellingwerf,0098
A.J.V. LOGISTIEK B.V.,ENSCHEDE,13146,0,Overijssel,PV23,Enschede,0153
A.K. BARENDREGT AANNEMINGSBEDRIJF B.V.,ZWARTEWAAL,13208,0,Zuid-Holland,PV28,Brielle,0501
A.L.A.D. REIZEN B.V.,BERKEL-ENSCHOT,21848,0,Noord-Brabant,PV30,Tilburg,0855
A.L.H. GENETICS B.V.,DAMWALD,2242,0,Fryslân,PV21,Dantumadiel,1891
A.L.M.T.S. GROUP V.O.F.,S-GRAVENHAGE,2874,0,Zuid-Holland,PV28,'s-Gravenhage,0518
A.M.A MOUSTAFA EN M.N.A. ABBAS V.O.F.,AMSTERDAM,1044,0,Noord-Holland,PV27,Amsterdam,0363
A.M.F. ZEIST B.V.,ZEIST,27938,0,Utrecht,PV26,Zeist,0355
A.O.D. OMEGA B.V.,DINTELOORD,4240,0,Noord-Brabant,PV30,Steenbergen,0851
A.P.C. KUIN C.V.,MIDDELHARNIS,4390,0,Zuid-Holland,PV28,Goeree-Overflakkee,1924
A.R. BEVEILIGING B.V.,ROTTERDAM,41934,0,Zuid-Holland,PV28,Rotterdam,0599
A.R.B. AUTOMATEN B.V.,ROTTERDAM,7922,0,Zuid-Holland,PV28,Rotterdam,0599
A.R.P. ENGINEERING B.V.,TER AAR,25722,0,Zuid-Holland,PV28,Nieuwkoop,0569
A.S. AAA C.V.,AMSTELVEEN,4476,0,Noord-Holland,PV27,Amstelveen,0362
A.S.B. B.V.,DODEWAARD,6058,0,Gelderland,PV25,Neder-Betuwe,1740
A.S.K. (AUTOMATENEXPLOITATIE VOOR SERVICE EN KWALITEIT) B.V.,BODEGRAVEN,2536,0,Zuid-Holland,PV28,Bodegraven-Reeuwijk,1901
A.S.K. B.V.,HOOGEVEEN,4800,0,Drenthe,PV22,Hoogeveen,0118
A.S.M. ASBESTSANERING & MILIEUTECHNIEK B.V.,SEXBIERUM,1868,0,Fryslân,PV21,Waadhoeke,1949
A.T. HORECA B.V.,EINDHOVEN,18004,0,Noord-Brabant,PV30,Eindhoven,0772
A.T.M.C. VAN ROOIJ B.V.,EINDHOVEN,4156,0,Noord-Brabant,PV30,Eindhoven,0772
A.T.N.S. B.V.,DORDRECHT,3252,0,Zuid-Holland,PV28,Dordrecht,0505
A.VALENTIJN EN ZONEN B.V.,ST. WILLEBRORD,176,0,Noord-Brabant,PV30,Rucphen,0840
A.VAN ALTENA B.V.,HAARLEM,1134,0,Noord-Holland,PV27,Haarlem,0392
A.W. GEERTS V.O.F.,ULICOTEN,3660,0,Noord-Brabant,PV30,Baarle-Nassau,0744
A/N/G COSMETICS B.V.,NAARDEN,17786,0,Noord-Holland,PV27,Gooise Meren,1942
A1 AUTOMOTIVE B.V.,APELDOORN,12910,0,Gelderland,PV25,Apeldoorn,0200
A1 PROMO & EVENTS SOLUTIONS B.V.,ARNHEM,3808,0,Gelderland,PV25,Arnhem,0202
A1 WERKPLAN B.V.,URMOND,42908,0,Limburg,PV31,Stein,0971
A1 WERKPLAN WEST B.V.,HOOGVLIET ROTTERDAM,68100,0,Zuid-Holland,PV28,Rotterdam,0599
A12 VAN DER VALK HOTEL VEENENDAAL B.V.,VEENENDAAL,112808,0,Utrecht,PV26,Veenendaal,0345
A15 BOWLING B.V.,GORINCHEM,3716,0,Zuid-Holland,PV28,Gorinchem,0512
A1-CITY B.V.,AMERSFOORT,32216,0,Utrecht,PV26,Amersfoort,0307
A2 KOI B.V.,KERKDRIEL,6600,0,Gelderland,PV25,Maasdriel,0263
A2C SERVICES B.V.,WAALWIJK,5068,0,Noord-Brabant,PV30,Waalwijk,0867
A2Z-CM N.V.,HOOFDDORP,663370,0,Noord-Holland,PV27,Haarlemmermeer,0394
A3 INTERIEURBOUW B.V.,LELYSTAD,2034,0,Flevoland,PV24,Lelystad,0995
